URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bd6t59612005;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1932-01-21;"21 janvier 1932 ¤ 1932/01/21 (A55,N21). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;84.54;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5958010k;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1921-08-02;"02 août 1921 ¤ 1921/08/02 (A44,N177). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;83.21;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5962654x;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1933-02-22;"22 février 1933 ¤ 1933/02/22 (A56,N53). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;83.64;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5421209k;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1902-05-15;"15 mai 1902 ¤ 1902/05/15 (A25,N112). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;75.49;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5418037x;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1901-01-09;"09 janvier 1901 ¤ 1901/01/09 (A24,N7). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;59.63;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5414930z;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1894-01-18;"18 janvier 1894 ¤ 1894/01/18 (A17,N15). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;61.39;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5960149c;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1924-08-29;"29 août 1924 ¤ 1924/08/29 (A47,N239). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;82.62;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t5960529x;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1931-09-19;"19 septembre 1931 ¤ 1931/09/19 (A54,N259). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;82.18;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t54149333;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1894-01-22;"22 janvier 1894 ¤ 1894/01/22 (A17,N18). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;63.08;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
https://www.numistral.fr/ark:/12148/bd6t54144940;Strassburger neueste Nachrichten : General-Anzeiger für Strassburg und Elsass-Lothringen;fascicules;;;[s.n.] (Strassburg);1904-09-30;"30 septembre 1904 ¤ 1904/09/30 (A27,N229). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb344124174;domaine public ¤ public domain;14961;BNUStr017 ¤ Alsace1 ¤ BNUStr000 ¤ BIPNOUV ¤ BNUStr014;62.38;Bibliothèque nationale et universitaire de Strasbourg , M.600.061
