URL;TITRE;TYPE;AUTEURS;CONTRIBUTEURS;EDITEURS;DATES;DESCRIPTIONS;SUJETS;PROVENANCE;ARK CATALOGUE;DROITS;NOMBRE DE VUES;CODE(S) PROJET(S);NQA Moyen (%);SOURCE
https://www.numistral.fr/ark:/12148/bpt6k3140698q;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-10-06;"06 octobre 1925 ¤ 1925/10/06 (N232,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140728d;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-11-10;"10 novembre 1925 ¤ 1925/11/10 (N262,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141628c;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1928-11-05;"05 novembre 1928 ¤ 1928/11/05 (N258,A6). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;88.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3142961b;Journal agricole d'Alsace-Lorraine;fascicules;Association centrale des comices agricoles d'arrondissement (Strasbourg). Auteur du texte;Association des caisses publiques d'assurance contre la grêle et la mort du bétail (Strasbourg). Éditeur scientifique;(Strasbourg);1914-10-24;"24 octobre 1914 ¤ 1914/10/24 (N43,A42). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34423475r;domaine public ¤ public domain;;BNUStr014;86.0;Bibliothèque nationale et universitaire de Strasbourg , M.36.059
https://www.numistral.fr/ark:/12148/bpt6k3140417k;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1924-10-29;"29 octobre 1924 ¤ 1924/10/29 (N253,A2). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140476f;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-01-13;"13 janvier 1925 ¤ 1925/01/13 (N10,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140722x;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-11-03;"03 novembre 1925 ¤ 1925/11/03 (N256,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141361z;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1927-12-16;"16 décembre 1927 ¤ 1927/12/16 (N290,A7). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140479p;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-01-16;"16 janvier 1925 ¤ 1925/01/16 (N13,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;86.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140706t;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-10-15;"15 octobre 1925 ¤ 1925/10/15 (N240,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.7;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3140438r;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1924-11-26;"26 novembre 1924 ¤ 1924/11/26 (N275,A2). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;88.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31407574;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-12-15;"15 décembre 1925 ¤ 1925/12/15 (N291,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.2;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k31407203;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1925-10-31;"31 octobre 1925 ¤ 1925/10/31 (N254,A3). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.0;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141036v;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1926-11-17;"17 novembre 1926 ¤ 1926/11/17 (N267,A4). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;85.8;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
https://www.numistral.fr/ark:/12148/bpt6k3141072q;Le Nouvelliste d'Alsace;fascicules;;;(Colmar);1926-12-30;"30 décembre 1926 ¤ 1926/12/30 (N303,A4). ¤ ";;Numistral;http://catalogue.bnf.fr/ark:/12148/cb34422391g;domaine public ¤ public domain;;BNUStr014;87.0;Bibliothèque nationale et universitaire de Strasbourg , M.600.029
